distance_px,intensity_green,trend,envelope
146.000,207.616654,207.657439,1.743251
147.000,207.012353,207.640696,1.763456
148.000,206.065761,207.624652,1.783966
149.000,206.000000,207.609311,1.804756
150.000,206.000000,207.594676,1.825811
151.000,206.000000,207.580753,1.847106
152.000,206.000000,207.567544,1.868624
153.000,206.000000,207.555054,1.890342
154.000,206.000000,207.543286,1.912239
155.000,206.000000,207.532246,1.934294
156.000,206.000000,207.521936,1.956486
157.000,206.000000,207.512360,1.978793
158.000,206.000000,207.503523,2.001195
159.000,206.000000,207.495428,2.023670
160.000,206.000000,207.488079,2.046199
161.000,206.000000,207.481479,2.068761
162.000,206.000000,207.475632,2.091337
163.000,206.000000,207.470541,2.113908
164.000,206.000000,207.466209,2.136456
165.000,206.000000,207.462641,2.158963
166.000,206.000000,207.459839,2.181412
167.000,206.000000,207.457806,2.203788
168.000,204.960029,207.456545,2.226076
169.000,204.610562,207.456060,2.248262
170.000,204.286278,207.456352,2.270333
171.000,204.000000,207.457425,2.292279
172.000,204.000000,207.459282,2.314090
173.000,204.000000,207.461924,2.335757
174.000,204.000000,207.465355,2.357274
175.000,204.000000,207.469577,2.378637
176.000,204.000000,207.474594,2.399841
177.000,204.000000,207.480408,2.420887
178.000,204.000000,207.487022,2.441773
179.000,204.000000,207.494439,2.462502
180.000,204.000000,207.502661,2.483079
181.000,204.000000,207.511693,2.503508
182.000,204.000000,207.521535,2.523798
183.000,204.000000,207.532191,2.543957
184.000,204.090905,207.543662,2.563997
185.000,204.637676,207.555951,2.583930
186.000,205.000000,207.569060,2.603771
187.000,205.000000,207.582991,2.623535
188.000,205.000000,207.597746,2.643240
189.000,205.000000,207.613326,2.662907
190.000,205.000000,207.629734,2.682554
191.000,205.000000,207.646971,2.702205
192.000,205.300718,207.665039,2.721883
193.000,206.000000,207.683939,2.741614
194.000,206.000000,207.703674,2.761422
195.000,206.000000,207.724244,2.781336
196.000,206.239949,207.745650,2.801384
197.000,207.000000,207.767895,2.821594
198.000,207.000000,207.790978,2.841997
199.000,207.000000,207.814901,2.862621
200.000,207.179180,207.839664,2.883499
201.000,208.163988,207.865267,2.904660
202.000,209.000000,207.891710,2.926136
203.000,209.068752,207.918992,2.947957
204.000,209.606752,207.947115,2.970154
205.000,209.000000,207.976076,2.992757
206.000,209.035545,208.005876,3.015797
207.000,209.266791,208.036513,3.039302
208.000,210.022068,208.067988,3.063301
209.000,210.532867,208.100298,3.087822
210.000,210.000000,208.133444,3.112891
211.000,210.000000,208.167423,3.138533
212.000,210.000242,208.202233,3.164773
213.000,210.000000,208.237873,3.191631
214.000,210.000000,208.274341,3.219128
215.000,210.000000,208.311633,3.247283
216.000,210.000000,208.349745,3.276112
217.000,209.079088,208.388676,3.305629
218.000,209.119323,208.428420,3.335845
219.000,209.292971,208.468974,3.366770
220.000,209.058171,208.510333,3.398412
221.000,208.449278,208.552493,3.430774
222.000,208.028852,208.595449,3.463859
223.000,207.180561,208.639195,3.497664
224.000,207.844460,208.683727,3.532188
225.000,208.000000,208.729037,3.567422
226.000,208.000000,208.775120,3.603358
227.000,208.000000,208.821969,3.639982
228.000,208.000000,208.869577,3.677280
229.000,207.978246,208.917936,3.715233
230.000,207.796899,208.967040,3.753821
231.000,207.181852,209.016879,3.793022
232.000,207.000000,209.067444,3.832809
233.000,207.000000,209.118727,3.873153
234.000,207.000000,209.170717,3.914024
235.000,207.000000,209.223405,3.955388
236.000,207.000000,209.276779,3.997208
237.000,207.000000,209.330828,4.039447
238.000,207.000000,209.385541,4.082063
239.000,206.862678,209.440905,4.125014
240.000,206.402621,209.496906,4.168255
241.000,206.050241,209.553533,4.211741
242.000,206.000000,209.610770,4.255423
243.000,206.000000,209.668603,4.299252
244.000,206.000000,209.727017,4.343178
245.000,206.000000,209.785997,4.387150
246.000,206.000000,209.845526,4.431116
247.000,206.000000,209.905588,4.475024
248.000,205.852070,209.966165,4.518821
249.000,205.281254,210.027240,4.562454
250.000,205.000000,210.088793,4.605870
251.000,205.404375,210.150806,4.649018
252.000,206.000000,210.213260,4.691845
253.000,206.000000,210.276134,4.734300
